Block Number,Trial Number,Accuracy,Response Time,Words,Native Languages
1,1,Incorrect,0.7700100999791175,cif,0
1,2,Correct,0.3153120002243668,rih,0
1,3,Incorrect,0.24649990000762045,kfi,0
1,4,Correct,0.14872639998793602,qup,0
1,5,Correct,0.06878149998374283,wit,0
1,6,Correct,0.2969060998875648,rot,0
1,7,Correct,0.2693250000011176,log,0
1,8,Correct,0.2447768000420183,rat,0
1,9,Correct,0.1638323999941349,mad,0
1,10,Incorrect,0.1780993000138551,xin,0
1,11,Incorrect,0.19102789997123182,pgl,0
1,12,Correct,0.19406099990010262,bad,0
2,1,Incorrect,0.228667400078848,mad,0
2,2,Correct,0.15542529989033937,cif,0
2,3,Correct,0.17626650002785027,qup,0
2,4,Incorrect,0.21528260014019907,rat,0
2,5,Correct,0.10772449988871813,kfi,0
2,6,Incorrect,0.1775872998405248,log,0
2,7,Incorrect,0.19156359997577965,bad,0
2,8,Correct,0.18466480006463826,pgl,0
2,9,Correct,0.1963955000974238,xin,0
2,10,Incorrect,0.2147816999349743,rot,0
2,11,Correct,0.23979680007323623,rih,0
2,12,Incorrect,0.2367155000101775,wit,German
